mm_gene	hg_gene	MEL	CH12	K562	GM12878	q_M	q_C	q_K	q_G
NULL	5S_rRNA	0	0	7.26803683566926	12.7164821669245	0	0	4	4
NULL	5_8S_rRNA	0	0	0	0	0	0	0	0
NULL	6M1-18	0	0	0	0	0	0	0	0
NULL	7M1-2	0	0	0	0	0	0	0	0
NULL	7SK	0	0	1.49749494958551	6.24902180818623	0	0	3	3
A1bg	A1BG	0	0	0.204728047108621	0.41281209871908	0	0	2	2
NULL	A1BG-AS1	0	0	0.186663240789675	0.262977371716695	0	0	2	2
A1cf	A1CF	0.0308448468261365	0.0650169825270082	0	0.0104105707349655	1	1	0	1
A2m	A2M	0	0	0	0.0373070848524409	0	0	0	1
NULL	A2M-AS1	0	0	0.0306861396223687	0.02496223813269	0	0	1	1
NULL	A2ML1	0	0	0.047208250370142	0.0107645875850215	0	0	1	1
NULL	A2MP1	0	0	0	0	0	0	0	0
NULL	A3GALT2	0	0	0.101503095706064	0	0	0	1	0
A4galt	A4GALT	0.144339921047737	8.96091718322393	0.207988956778427	7.80602828160029	2	3	2	4
A4gnt	A4GNT	0	0	0.0436076584585568	0	0	0	1	0
NULL	AA06	0	0	0	0	0	0	0	0
Aaas	AAAS	82.138055210146	92.3363384868411	139.681667942036	105.33186837447	5	5	5	5
Aacs	AACS	37.1280521199431	35.3229316260523	30.285833416487	49.3205633517407	4	4	4	5
NULL	AACSP1	0	0	0.316566795630033	0.0408620781360667	0	0	2	1
Aadac	AADAC	0	0	0	0	0	0	0	0
Aadacl2	AADACL2	0	0	0	0	0	0	0	0
Aadacl3	AADACL3	0	0	0	0	0	0	0	0
NULL	AADACL4	0	0	0	0	0	0	0	0
Aadat	AADAT	0	0	0.0392816784722374	0	0	0	1	0
NULL	AAED1	0	0	0.717250048478585	0.238185922532929	0	0	3	2
Aagab	AAGAB	63.7995547886018	64.1248688678985	82.5677235371736	39.8281401041814	5	5	5	4
Aak1	AAK1	94.5869489581378	68.7820906493042	5.73606224315794	7.7044687541631	5	5	3	4
NULL	AAMDC	0	0	2.29956019918421	1.22999214682242	0	0	3	3
Aamp	AAMP	171.109109994072	231.011848023835	243.13570765381	210.262154083961	5	5	5	5
Aanat	AANAT	0.040054289444258	0.0859912075513019	0	0.19319674455889	1	1	0	2
NULL	AAR2	0	0	0.5044605919895	0.603315366517247	0	0	2	2
NULL	AARD	0	0	0	0.279746833249002	0	0	0	2
Aars	AARS	276.58049163649	299.525361379799	650.290689881048	356.010513184795	5	5	5	5
Aars2	AARS2	37.0258034833814	38.3032265154535	34.5650492204258	24.3230013330992	4	4	4	4
Aarsd1	AARSD1	6.7697528336877	9.09405679372188	11.3134963232318	12.4886086467011	3	3	4	4
Aasdh	AASDH	4.15205542546673	4.07065225535467	5.06162056219611	4.5296334881006	3	3	3	3
Aasdhppt	AASDHPPT	86.2381193803436	46.1028543589113	91.35494111966	54.9973506056361	5	4	5	5
Aass	AASS	0	0	0.00929939323549737	0.16801372437887	0	0	1	2
Aatf	AATF	501.144452702876	314.820013428289	443.20246073777	303.591101769079	5	5	5	5
Aatk	AATK	0.0195803803942415	0.289719428513021	0.193723609105033	0.155796755477476	1	2	2	2
NULL	AATK-AS1	0	0	0	0	0	0	0	0
NULL	AB000466	0	0	0	0	0	0	0	0
NULL	AB007962	0	0	0	0.0119027891262932	0	0	0	1
NULL	AB059369	0	0	0	0	0	0	0	0
NULL	AB062081	0	0	0	0	0	0	0	0
NULL	AB062083	0	0	0	0	0	0	0	0
NULL	AB073649	0	0	0.0445461823027818	0	0	0	1	0
NULL	AB074160	0	0	0	0	0	0	0	0
NULL	AB074162	0	0	0.0188549151617119	0.0681686108391917	0	0	1	1
NULL	AB074166	0	0	0.0109339963666444	0	0	0	1	0
NULL	AB074188	0	0	0	0	0	0	0	0
NULL	AB075489	0	0	0.0680353164743723	0.160375491340692	0	0	1	2
NULL	AB075492	0	0	0.0149077845919912	0.0814849925383229	0	0	1	1
NULL	AB209061	0	0	0.221003703153302	0.186638925905225	0	0	2	2
NULL	AB209185	0	0	0.129512316482563	0.199581669773568	0	0	1	2
NULL	AB209315	0	0	0	0.0334525864734265	0	0	0	1
NULL	AB209621	0	0	0.0262248417322066	0.0246093179984958	0	0	1	1
NULL	AB231702	0	0	0.745582473777945	0.0515448690915057	0	0	3	1
NULL	AB231703	0	0	0	1.40085061906077	0	0	0	3
NULL	AB231705	0	0	0	0	0	0	0	0
NULL	AB231710	0	0	0	0	0	0	0	0
NULL	AB231711	0	0	0	0	0	0	0	0
NULL	AB231721	0	0	0	0	0	0	0	0
NULL	AB231722	0	0	0	0	0	0	0	0
NULL	AB231723	0	0	0	0	0	0	0	0
NULL	AB231724	0	0	1.41698252197575	0	0	0	3	0
NULL	AB231729	0	0	0	0	0	0	0	0
NULL	AB231731	0	0	0	0	0	0	0	0
NULL	AB231739	0	0	0	0	0	0	0	0
NULL	AB231741	0	0	0	0	0	0	0	0
NULL	AB231742	0	0	0	0	0	0	0	0
NULL	AB231761	0	0	0	0	0	0	0	0
NULL	AB231779	0	0	0	0	0	0	0	0
NULL	AB231784	0	0	0	0	0	0	0	0
NULL	AB240015	0	0	0	0	0	0	0	0
NULL	AB372727	0	0	0	3.02774232270828	0	0	0	3
NULL	AB429224	0	0	0	0	0	0	0	0
NULL	AB488780	0	0	0.195714563533029	0.262474240591446	0	0	2	2
NULL	AB586698	0	0	0.459023329826384	0.528521540653727	0	0	2	2
Abat	ABAT	4.50098842045063	0.545942433609556	0.381560675383731	2.91952454363079	3	2	2	3
Abca1	ABCA1	1.47427710870874	0.14073136144063	0.275943295169873	0.899950990069276	3	2	2	3
NULL	ABCA10	0	0	0.0449544288504488	0.552683418874336	0	0	1	2
NULL	ABCA11P	0	0	0.296809655990703	0.202964125731981	0	0	2	2
Abca12	ABCA12	0.0952992145588362	1.6647334806055	0.0174664412904637	1.33562402350541	2	3	1	3
Abca13	ABCA13	0.0251352268294082	0.188134650693517	0.166232188581353	0.0503531621458319	1	2	2	1
NULL	ABCA17P	0	0	1.33544430031597	0.488657587236184	0	0	3	2
Abca2	ABCA2	15.7040506503789	12.0875141527698	27.5665765254798	8.44024929219537	4	4	4	4
Abca3	ABCA3	67.0289991019337	22.5992773299269	29.7130512118336	13.9118109101065	5	4	4	4
Abca4	ABCA4	0.288016286543252	0.27560535201526	0.423980770335025	0.229950104661335	2	2	2	2
Abca5	ABCA5	1.70749273951356	5.02031906328234	1.61492182471873	17.6629318471247	3	3	3	4
Abca6	ABCA6	0.0822064065980902	0.842243967523466	0.0793670214217548	1.07025174452596	1	3	1	3
Abca7	ABCA7	28.1747985896764	16.8595861480585	29.9346488010278	18.5925247444749	4	4	4	4
Abca8b	ABCA8	0.0299618288189366	3.54533672723436	2.22972949466075	0.0701369739820836	1	3	3	1
Abca9	ABCA9	0.0265800283444126	0.383281770447281	0.0404946963209277	0.312384688425771	1	2	1	2
NULL	ABCB1	0	0	0.077227965085914	0.0708603209184504	0	0	1	1
Abcb10	ABCB10	36.2778298686778	13.9851057078468	35.0272892626425	22.9199700540084	4	4	4	4
Abcb11	ABCB11	0	0	0.0635683617774504	0.00835641105382586	0	0	1	1
Abcb4	ABCB4	35.778898016141	0.648796012729911	2.77075675338426	11.0049861459151	4	2	3	4
Abcb5	ABCB5	0	0.0530604933631052	0	0	0	1	0	0
Abcb6	ABCB6	57.81436854488	23.8446026632981	25.6391834363464	27.5158746107397	5	4	4	4
Abcb7	ABCB7	51.2297959906301	37.6112407311351	99.7351357597337	138.297777663554	4	4	5	5
Abcb8	ABCB8	103.118013862572	58.142547272222	171.112962466412	84.9708063184474	5	5	5	5
Abcb9	ABCB9	7.07544044200491	2.02227733401865	5.93530058784	2.68023141095192	3	3	3	3
Abcc1	ABCC1	60.4052333887949	77.8818739982931	62.556494706576	86.2614204088054	5	5	5	5
Abcc10	ABCC10	9.12232230187881	7.20587960502296	11.2643963871642	8.68450947771388	4	3	4	4
Abcc5	ABCC11	4.42590300855453	4.20070932894489	1.40182232319534	1.69528218911286	3	3	3	3
Abcc12	ABCC12	0.0373793578381732	0.0180921095858929	0	0.0626109808938251	1	1	0	1
NULL	ABCC13	0	0	0	0	0	0	0	0
Abcc2	ABCC2	0.102127372501368	0.649721532294719	0.188216692477451	0.506337329889085	2	2	2	2
Abcc3	ABCC3	0.185757835145999	0.481046550465066	1.15736341002126	0.787322724588275	2	2	3	3
Abcc4	ABCC4	20.1230124862143	42.7034345884328	33.7075612673888	30.7194484781332	4	4	4	4
NULL	ABCC5	0	0	0.637678358029868	0.184142205658207	0	0	2	2
NULL	ABCC5-AS1	0	0	0	0	0	0	0	0
NULL	ABCC6	0	0	0.0207065117285009	0.0125685044358397	0	0	1	1
NULL	ABCC6P1	0	0	0	0	0	0	0	0
NULL	ABCC6P2	0	0	0	0	0	0	0	0
Abcc8	ABCC8	0	0	0.0143357569957198	0	0	0	1	0
