#mm9.knownGene.name	mm9.knownGene.chrom	mm9.knownGene.txStart	mm9.knownGene.txEnd	mm9.kgXref.geneSymbol	mm9.knownToEnsembl.value
uc007aet.1	chr1	3195984	3205713	mKIAA1889	ENSMUST00000162897
uc007aeu.1	chr1	3204562	3661579	Xkr4	ENSMUST00000070533
uc007aev.1	chr1	3638391	3648985	AK149000	ENSMUST00000070533
uc007aew.1	chr1	4280926	4399322	Rp1	ENSMUST00000115540
uc007aex.2	chr1	4333587	4350395	Rp1	ENSMUST00000027032
uc007aey.1	chr1	4481008	4483816	Sox17	ENSMUST00000027035
uc007aez.1	chr1	4481008	4486494	Sox17	ENSMUST00000027035
uc007afa.1	chr1	4481008	4486494	Sox17	ENSMUST00000027035
uc007afb.1	chr1	4481008	4486494	Sox17	ENSMUST00000027035
uc007afc.1	chr1	4481008	4486494	Sox17	ENSMUST00000027035
uc007aff.2	chr1	4763278	4775807	Mrpl15	ENSMUST00000156816
uc007afd.2	chr1	4763278	4775807	Mrpl15	ENSMUST00000156816
uc007afe.2	chr1	4763278	4775807	Mrpl15	ENSMUST00000156816
uc007afg.1	chr1	4797973	4832908	Lypla1	ENSMUST00000141278
uc007afh.1	chr1	4797973	4836816	Lypla1	ENSMUST00000027036
uc007afi.2	chr1	4847774	4887990	Tcea1	ENSMUST00000081551
uc011wht.1	chr1	4847774	4887990	Tcea1	ENSMUST00000081551
uc011whu.1	chr1	4848408	4887990	Tcea1	ENSMUST00000165720
uc007afk.2	chr1	4899656	5009507	Rgs20	ENSMUST00000002533
uc007afl.2	chr1	4899656	5060366	Rgs20	ENSMUST00000118000
uc007afm.1	chr1	5073253	5089858	Atp6v1h	ENSMUST00000044369
uc007afn.1	chr1	5073253	5152630	Atp6v1h	ENSMUST00000044369
uc011whv.1	chr1	5159376	5159402	AB338584	n/a
uc007afo.1	chr1	5578573	5592947	Oprk1	ENSMUST00000160777
uc007afp.1	chr1	5578573	5592947	Oprk1	ENSMUST00000160777
uc007afq.1	chr1	5586598	5592947	Oprk1	ENSMUST00000159083
uc011whw.1	chr1	5903787	5907479	Npbwr1	ENSMUST00000044180
uc007afr.2	chr1	6204742	6266185	Rb1cc1	ENSMUST00000027040
uc011whx.1	chr1	6224309	6266185	Rb1cc1	ENSMUST00000027040
uc007afs.1	chr1	6231050	6240248	Rb1cc1	ENSMUST00000159802
uc007aft.2	chr1	6252914	6266185	CC1	ENSMUST00000027040
