A1BG	A1bg
A1CF	A1cf
A2M	A2m
A4GALT	A4galt
A4GNT	A4gnt
AAAS	Aaas
AACS	Aacs
AADAC	Aadac
AADACL2	Aadacl2
AADACL3	Aadacl3
AADAT	Aadat
AAGAB	Aagab
AAK1	Aak1
AAMP	Aamp
AANAT	Aanat
AARS	Aars
AARS2	Aars2
AARSD1	Aarsd1
AASDH	Aasdh
AASDHPPT	Aasdhppt
AASS	Aass
AATF	Aatf
AATK	Aatk
ABAT	Abat
ABCA1	Abca1
ABCA12	Abca12
ABCA13	Abca13
ABCA2	Abca2
ABCA3	Abca3
ABCA4	Abca4
ABCA5	Abca5
ABCA6	Abca6
ABCA7	Abca7
ABCA8	Abca8b
ABCA9	Abca9
ABCB10	Abcb10
ABCB11	Abcb11
ABCB4	Abcb4
ABCB5	Abcb5
ABCB6	Abcb6
ABCB7	Abcb7
ABCB8	Abcb8
ABCB9	Abcb9
ABCC1	Abcc1
ABCC10	Abcc10
ABCC11	Abcc5
ABCC12	Abcc12
ABCC2	Abcc2
ABCC3	Abcc3
ABCC4	Abcc4
ABCC8	Abcc8
ABCC9	Abcc9
ABCD2	Abcd2
ABCD3	Abcd3
ABCD4	Abcd4
ABCE1	Abce1
ABCF1	Abcf1
ABCF2	Abcf2
ABCF3	Abcf3
ABCG1	Abcg1
ABCG2	Abcg2
ABCG4	Abcg4
ABCG5	Abcg5
ABCG8	Abcg8
ABHD10	Abhd10
ABHD11	Abhd11
ABHD13	Abhd13
ABHD14A	Abhd14a
ABHD14B	Abhd14b
ABHD15	Abhd15
ABHD2	Abhd2
ABHD3	Abhd3
ABHD4	Abhd4
ABHD5	Abhd5
ABHD6	Abhd6
ABHD8	Abhd8
ABI1	Abi1
ABI2	Abi2
ABI3	Abi3
ABI3BP	Abi3bp
ABL1	Abl1
ABL2	Abl2
ABLIM1	Ablim1
ABLIM2	Ablim2
ABLIM3	Ablim3
ABR	Abr
ABRA	Abra
ABT1	Abt1
ABTB1	Abtb1
ABTB2	Abtb2
ACAA2	Acaa2
ACACA	Acaca
ACACB	Acacb
ACAD11	Acad11
ACAD8	Acad8
ACAD9	Acad9
ACADL	Acadl
ACADM	Acadm
ACADS	Acads
ACADSB	Acadsb
ACADVL	Acadvl
ACAN	Acan
ACAP1	Acap1
ACAP2	Acap2
ACAP3	Acap3
ACAT1	Acat1
ACBD3	Acbd3
ACBD4	Acbd4
ACBD5	Acbd5
ACBD6	Acbd6
ACBD7	Acbd7
ACCS	Accs
ACCSL	Accsl
ACD	Acd
ACE	Ace
ACE2	Ace2
ACER1	Acer1
ACER2	Acer2
ACER3	Acer3
ACHE	Ache
ACIN1	Acin1
ACLY	Acly
ACMSD	Acmsd
ACN9	Acn9
ACO1	Aco1
ACO2	Aco2
ACOT11	Acot11
ACOT12	Acot12
ACOT13	Acot13
ACOT4	Acot4
ACOT6	Acot6
ACOT7	Acot7
ACOT8	Acot8
ACOX1	Acox1
ACOX2	Acox2
ACOX3	Acox3
ACOXL	Acoxl
ACP1	Acp1
ACP2	Acp2
ACP5	Acp5
ACP6	Acp6
ACPL2	Acpl2
ACPP	Acpp
ACPT	Acpt
ACR	Acr
ACRBP	Acrbp
ACSBG1	Acsbg1
ACSBG2	Acsbg2
ACSF2	Acsf2
ACSF3	Acsf3
ACSL1	Acsl1
ACSL3	Acsl3
ACSL4	Acsl4
ACSL5	Acsl5
ACSL6	Acsl6
ACSM1	Acsm1
ACSM3	Acsm3
ACSM4	Acsm4
ACSM5	Acsm5
ACSS1	Acss1
ACSS2	Acss2
ACSS3	Acss3
ACTA1	Acta1
ACTA2	Acta2
ACTB	Actb
ACTBL2	Actbl2
ACTC1	Actc1
ACTG1	Actg1
ACTG2	Actg2
ACTL6A	Actl6a
ACTL6B	Actl6b
ACTL7A	Actl7a
ACTL7B	Actl7b
ACTL9	4921517D21Rik
ACTN1	Actn1
ACTN2	Actn2
ACTN4	Actn4
ACTR10	Actr10
ACTR1A	Actr1a
ACTR1B	Actr1b
ACTR2	Actr2
ACTR3	Actr3
ACTR5	Actr5
ACTR6	Actr6
ACTR8	Actr8
ACTRT1	Actrt1
ACTRT2	Actrt2
ACVR1	Acvr1
ACVR1B	Acvr1b
ACVR1C	Acvr1c
ACVR2A	Acvr2a
ACVR2B	Acvr2b
ACVRL1	Acvrl1
ACY3	Acy3
ACYP1	Acyp1
ACYP2	Acyp2
ADA	Ada
ADAD1	Adad1
ADAD2	Adad2
ADAL	Adal
ADAM10	Adam10
ADAM11	Adam11
ADAM12	Adam12
ADAM15	Adam15
ADAM17	Adam17
ADAM18	Adam18
ADAM19	Adam19
ADAM2	Adam2
ADAM21	Adam21
ADAM22	Adam22
ADAM23	Adam23
ADAM28	Adam28
ADAM29	Adam29
ADAM30	Adam30
ADAM32	Adam32
ADAM33	Adam33
ADAM7	Adam7
ADAM9	Adam9
ADAMDEC1	Adamdec1
ADAMTS1	Adamts1
ADAMTS10	Adamts10
ADAMTS12	Adamts12
ADAMTS13	Adamts13
ADAMTS14	Adamts14
ADAMTS15	Adamts15
ADAMTS16	Adamts16
ADAMTS17	Adamts17
ADAMTS18	Adamts18
ADAMTS19	Adamts19
ADAMTS2	Adamts2
ADAMTS20	Adamts20
ADAMTS3	Adamts3
ADAMTS4	Adamts4
ADAMTS5	Adamts5
ADAMTS6	Adamts6
ADAMTS7	Adamts7
ADAMTS8	Adamts8
ADAMTS9	Adamts9
ADAMTSL1	Adamtsl1
ADAMTSL3	Adamtsl3
ADAMTSL4	Adamtsl4
ADAMTSL5	Adamtsl5
ADAP1	Adap1
ADAP2	Adap2
ADAR	Adar
ADARB1	Adarb1
ADARB2	Adarb2
ADAT1	Adat1
ADAT2	Adat2
ADAT3	Adat3
ADC	Adc
ADCK1	Adck1
ADCK2	Adck2
ADCK3	Adck3
ADCK4	Adck4
ADCK5	Adck5
ADCY1	Adcy1
ADCY10	Adcy10
ADCY2	Adcy2
ADCY3	Adcy3
ADCY4	Adcy4
ADCY5	Adcy5
ADCY6	Adcy6
ADCY7	Adcy7
ADCY8	Adcy8
ADCY9	Adcy9
ADCYAP1	Adcyap1
ADCYAP1R1	Adcyap1r1
ADD1	Add1
ADD2	Add2
ADD3	Add3
ADH4	Adh4
ADH5	Adh5
ADH7	Adh7
ADHFE1	Adhfe1
ADI1	Adi1
ADIG	Adig
ADIPOQ	Adipoq
ADIPOR1	Adipor1
ADIPOR2	Adipor2
ADK	Adk
ADM	Adm
ADM2	Adm2
ADNP	Adnp
ADNP2	Adnp2
ADO	Ado
ADORA1	Adora1
ADORA2A	Adora2a
ADORA2B	Adora2b
ADORA3	Adora3__2
ADPGK	Adpgk
ADPRH	Adprh
ADPRHL1	Adprhl1
ADPRHL2	Adprhl2
ADRA1A	Adra1a
ADRA1B	Adra1b
ADRA1D	Adra1d
ADRA2A	Adra2a
ADRA2B	Adra2b
ADRA2C	Adra2c
ADRB1	Adrb1
ADRB2	Adrb2
ADRB3	Adrb3
ADRBK1	Adrbk1
ADRBK2	Adrbk2
ADSL	Adsl
ADSS	Adss
ADSSL1	Adssl1
AEBP1	Aebp1
AEBP2	Aebp2
AES	Aes
AFAP1	Afap1
AFAP1L1	Afap1l1
AFAP1L2	Afap1l2
AFF1	Aff1
AFF2	Aff2
AFF3	Aff3
AFF4	Aff4
AFG3L2	Afg3l2
AFM	Afm
AFMID	Afmid
AFP	Afp
AFTPH	Aftph
AGA	Aga
AGAP2	Agap2
AGAP3	Agap3
AGBL1	Agbl1
AGBL2	Agbl2
AGBL3	Agbl3
AGBL4	Agbl4
AGBL5	Agbl5
AGER	Ager
AGFG1	Agfg1
AGFG2	Agfg2
AGGF1	Aggf1
AGK	Agk
AGL	Agl
AGMAT	Agmat
AGPAT1	Agpat1
AGPAT2	Agpat2
AGPAT3	Agpat3
AGPAT4	Agpat4
AGPAT5	Agpat5
AGPAT6	Agpat6
AGPAT9	Agpat9
AGPHD1	Agphd1
AGPS	Agps
AGR2	Agr2
AGR3	Agr3
AGRN	Agrn
AGRP	Agrp
AGT	Agt
AGTPBP1	Agtpbp1
AGTR2	Agtr2
AGTRAP	Agtrap
AGXT	Agxt
AGXT2	Agxt2
AGXT2L1	Agxt2l1
AGXT2L2	Agxt2l2
AHCTF1	Ahctf1
AHCYL1	Ahcyl1
AHCYL2	Ahcyl2
AHDC1	Ahdc1
AHI1	Ahi1
AHNAK	Ahnak
AHNAK2	Ahnak2
AHR	Ahr
AHRR	Ahrr
AHSA1	Ahsa1
AHSA2	Ahsa2
AHSG	Ahsg
AICDA	Aicda
AIDA	Aida
AIF1	Aif1
AIF1L	Aif1l
AIFM1	Aifm1
AIFM2	Aifm2
AIFM3	Aifm3
AIG1	Aig1
AIM1	Aim1
AIM1L	Aim1l
AIM2	Aim2
AIMP1	Aimp1
AIMP2	Aimp2
AIP	Aip
AIPL1	Aipl1
AIRE	Aire
AJAP1	Ajap1
AK1	Ak1
AK2	Ak2
AK3	Ak3
AK4	Ak4
AK5	Ak5
AK7	Ak7
AKAP1	Akap1
AKAP10	Akap10
AKAP11	Akap11
AKAP12	Akap12
AKAP13	Akap13
AKAP14	Akap14
AKAP17A	Akap17b
AKAP3	Akap3
AKAP4	Akap4
AKAP5	Akap5
AKAP6	Akap6
AKAP7	Akap7
AKAP8	Akap8
AKAP8L	Akap8l
AKAP9	Akap9
AKIRIN1	Akirin1
AKIRIN2	Akirin2
AKNA	Akna
AKNAD1	Aknad1
AKR1A1	Akr1a4
AKR1D1	Akr1d1
AKR1E2	Akr1e1
AKT1	Akt1
AKT1S1	Akt1s1
AKT2	Akt2
AKT3	Akt3
AKTIP	Aktip
ALAD	Alad
ALAS1	Alas1
ALAS2	Alas2
ALB	Alb
ALCAM	Alcam
ALDH16A1	Aldh16a1
ALDH18A1	Aldh18a1
ALDH1A2	Aldh1a2
ALDH1A3	Aldh1a3
ALDH1B1	Aldh1b1
ALDH1L1	Aldh1l1
ALDH1L2	Aldh1l2
ALDH2	Aldh2
ALDH3A1	Aldh3a1
ALDH3A2	Aldh3a2
ALDH3B2	Aldh3b2
ALDH4A1	Aldh4a1
ALDH5A1	Aldh5a1
ALDH6A1	Aldh6a1
ALDH7A1	Aldh7a1
ALDH8A1	Aldh8a1
ALDH9A1	Aldh9a1
ALDOB	Aldob
ALDOC	Aldoc
ALG12	Alg12
ALG14	Alg14
ALG2	Alg2
ALG3	Alg3
ALG5	Alg5
ALG6	Alg6
ALG8	Alg8
ALK	Alk
ALKBH1	Alkbh1
ALKBH2	Alkbh2
ALKBH3	Alkbh3
ALKBH4	Alkbh4
ALKBH5	Alkbh5
ALKBH6	Alkbh6
ALKBH7	Alkbh7
ALKBH8	Alkbh8
ALLC	Allc
ALMS1	Alms1
ALOX12	Alox12
ALOX12B	Alox12b
ALOX15	Alox15
ALOX15B	Alox8
ALOX5	Alox5
ALOX5AP	Alox5ap
ALOXE3	Aloxe3
ALPK1	Alpk1
ALPK2	Alpk2
ALPK3	Alpk3
ALPL	Alpl
ALS2CL	Als2cl
ALS2CR12	Als2cr12
ALS2CR8	Carf
ALX1	Alx1
ALX3	Alx3
ALX4	Alx4
AMACR	Amacr
AMBN	Ambn
AMBP	Ambp
AMBRA1	Ambra1
AMDHD1	Amdhd1
AMDHD2	Amdhd2
AMFR	Amfr
AMH	Amh
AMHR2	Amhr2
AMICA1	Amica1
AMIGO1	Amigo1
AMIGO2	Amigo2
AMIGO3	Amigo3
AMMECR1	Ammecr1
AMMECR1L	Ammecr1l
AMN	Amn
AMN1	Amn1
AMOT	Amot
AMOTL1	Amotl1
AMOTL2	Amotl2
AMPD1	Ampd1
AMPD2	Ampd2
AMPD3	Ampd3
AMPH	Amph
AMT	Amt
AMTN	Amtn
AMZ1	Amz1
AMZ2	Amz2
ANAPC1	Anapc1
ANAPC10	Anapc10
ANAPC11	Anapc11
ANAPC13	Anapc13
ANAPC16	Anapc16
ANAPC2	Anapc2
ANAPC4	Anapc4
ANAPC5	Anapc5
ANAPC7	Anapc7
ANGEL1	Angel1
ANGEL2	Angel2
ANGPT1	Angpt1
ANGPT2	Angpt2
ANGPT4	Angpt4
ANGPTL1	Angptl1
ANGPTL2	Angptl2
ANGPTL3	Angptl3
ANGPTL4	Angptl4
ANGPTL6	Angptl6
ANGPTL7	Angptl7
ANK2	Ank2
ANK3	Ank3
ANKAR	Ankar
ANKDD1B	Ankdd1b
ANKFN1	Ankfn1
ANKFY1	Ankfy1
ANKH	Ank
ANKIB1	Ankib1
ANKK1	Ankk1
ANKLE1	Ankle1
ANKLE2	Ankle2
ANKMY1	Ankmy1
ANKMY2	Ankmy2
ANKRA2	Ankra2
ANKRD1	Ankrd1
ANKRD10	Ankrd10
ANKRD11	Ankrd11
ANKRD12	Ankrd12
ANKRD13A	Ankrd13a
ANKRD13B	Ankrd13b
ANKRD13C	Ankrd13c
ANKRD13D	Ankrd13d
ANKRD16	Ankrd16
ANKRD17	Ankrd17
ANKRD2	Ankrd2
ANKRD22	Ankrd22
ANKRD23	Ankrd23
ANKRD24	Ankrd24
ANKRD26	Ankrd26
ANKRD27	Ankrd27
ANKRD28	Ankrd28
ANKRD29	Ankrd29
ANKRD32	Ankrd32
ANKRD33	Ankrd33
ANKRD33B	Ankrd33b
ANKRD34A	Ankrd34a
ANKRD34B	Ankrd34b
ANKRD34C	Ankrd34c
ANKRD35	Ankrd35
ANKRD37	Ankrd37
ANKRD39	Ankrd39
ANKRD40	Ankrd40
ANKRD42	Ankrd42
ANKRD44	Ankrd44
ANKRD45	Ankrd45
ANKRD46	Ankrd46
ANKRD49	Ankrd49
ANKRD50	Ankrd50
ANKRD52	Ankrd52
ANKRD53	Ankrd53
ANKRD54	Ankrd54
ANKRD55	Ankrd55
ANKRD6	Ankrd6
ANKRD61	Ankrd61
ANKRD7	Ankrd7
ANKRD9	Ankrd9
ANKS1A	Anks1
ANKS1B	Anks1b
ANKS3	Anks3
ANKS4B	Anks4b
ANKS6	Anks6
ANLN	Anln
ANO1	Ano1
ANO10	Ano10
ANO2	Ano2
ANO3	Ano3
ANO4	Ano4
ANO5	Ano5
ANO6	Ano6
ANO7	Ano7
ANO8	Ano8
ANO9	Ano9
ANP32E	Anp32e
ANPEP	Anpep
ANTXR1	Antxr1
ANTXR2	Antxr2
ANXA1	Anxa1
ANXA10	Anxa10
ANXA11	Anxa11
ANXA13	Anxa13
ANXA2	Anxa2
ANXA3	Anxa3
ANXA4	Anxa4
ANXA5	Anxa5
ANXA6	Anxa6
ANXA7	Anxa7
ANXA9	Anxa9
AOAH	Aoah
AOC2	Aoc2
AOC3	Aoc3
AOX1	Aox1
AP1AR	Ap1ar
AP1B1	Ap1b1
AP1G1	Ap1g1
AP1G2	Ap1g2
AP1M1	Ap1m1
AP1M2	Ap1m2
AP1S1	Ap1s1
AP1S2	Ap1s2
AP1S3	Ap1s3
AP2A1	Ap2a1
AP2A2	Ap2a2
AP2B1	Ap2b1
AP2M1	Ap2m1
AP2S1	Ap2s1
AP3B1	Ap3b1
AP3B2	Ap3b2
AP3D1	Ap3d1
AP3M1	Ap3m1
AP3M2	Ap3m2
AP3S2	Ap3s2
AP4B1	Ap4b1
AP4E1	Ap4e1
AP4M1	Ap4m1
AP4S1	Ap4s1
APAF1	Apaf1
APBA1	Apba1
APBA2	Apba2
APBA3	Apba3
APBB1	Apbb1
APBB1IP	Apbb1ip
APBB2	Apbb2
APBB3	Apbb3
APC	Apc
APC2	Apc2
APCS	Apcs
APEH	Apeh
APEX1	Apex1
APEX2	Apex2
APH1A	Aph1a
API5	Api5
APIP	Apip
APLF	Aplf
APLN	Apln
APLNR	Aplnr
APLP1	Aplp1
APLP2	Aplp2
APOA1	Apoa1
APOA1BP	Apoa1bp
APOA2	Apoa2
APOA4	Apoa4
APOA5	Apoa5
APOB	Apob
APOBEC1	Apobec1
APOBEC2	Apobec2
APOBEC3H	Apobec3
APOBEC4	Apobec4
APOC1	Apoc1
APOC2	Apoc2
APOC3	Apoc3
APOD	Apod
APOE	Apoe
APOF	Apof
APOH	Apoh
APOM	Apom
APOOL	Apool
APP	App
APPBP2	Appbp2
APPL1	Appl1
APPL2	Appl2
APRT	Aprt
APTX	Aptx
AQP1	Aqp1
AQP11	Aqp11
AQP2	Aqp2
AQP3	Aqp3
AQP4	Aqp4
AQP5	Aqp5
AQP6	Aqp6
AQP7	Aqp7
AQP8	Aqp8
AQP9	Aqp9
AQR	Aqr
AR	Ar
ARAF	Araf
ARAP1	Arap1
ARAP2	Arap2
ARAP3	Arap3
ARC	Arc
ARCN1	Arcn1
ARF1	Arf1
ARF3	Arf3
ARF4	Arf4
ARF5	Arf5
ARF6	Arf6
ARFGAP1	Arfgap1
ARFGAP2	Arfgap2
ARFGAP3	Arfgap3
ARFGEF1	Arfgef1
ARFGEF2	Arfgef2
ARFIP1	Arfip1
ARFIP2	Arfip2
ARFRP1	Arfrp1
ARG1	Arg1
ARG2	Arg2
ARGLU1	Arglu1
ARHGAP1	Arhgap1
ARHGAP10	Arhgap10
ARHGAP11A	Arhgap11a
ARHGAP12	Arhgap12
ARHGAP15	Arhgap15
ARHGAP17	Arhgap17
ARHGAP18	Arhgap18
ARHGAP19	Arhgap19
ARHGAP20	Arhgap20
ARHGAP21	Arhgap21
ARHGAP22	Arhgap22
ARHGAP23	Arhgap23
ARHGAP24	Arhgap24
ARHGAP25	Arhgap25
ARHGAP26	Arhgap26
ARHGAP27	Arhgap27
ARHGAP28	Arhgap28
ARHGAP29	Arhgap29
ARHGAP30	Arhgap30
ARHGAP31	Arhgap31
ARHGAP32	Arhgap32
ARHGAP33	Arhgap33
ARHGAP36	Arhgap36
ARHGAP39	Arhgap39
ARHGAP4	Arhgap4
ARHGAP42	Arhgap42
ARHGAP5	Arhgap5
ARHGAP6	Arhgap6
ARHGAP9	Arhgap9
ARHGDIA	Arhgdia
ARHGDIB	Arhgdib
ARHGDIG	Arhgdig
ARHGEF1	Arhgef1
ARHGEF10	Arhgef10
ARHGEF10L	Arhgef10l
ARHGEF11	Arhgef11
ARHGEF12	Arhgef12
ARHGEF15	Arhgef15
ARHGEF16	Arhgef16
ARHGEF17	Arhgef17
ARHGEF18	Arhgef18
ARHGEF19	Arhgef19
ARHGEF2	Arhgef2
ARHGEF3	Arhgef3
ARHGEF33	Arhgef33
ARHGEF37	Arhgef37
ARHGEF4	Arhgef4
ARHGEF5	Arhgef5
ARHGEF6	Arhgef6
ARHGEF7	Arhgef7
ARHGEF9	Arhgef9
ARID1A	Arid1a
ARID1B	Arid1b
ARID2	Arid2
ARID3A	Arid3a
ARID3B	Arid3b
ARID3C	Arid3c
ARID4A	Arid4a
ARID4B	Arid4b
ARID5A	Arid5a
ARID5B	Arid5b
ARIH1	Arih1
ARIH2	Arih2
ARL1	Arl1
ARL10	Arl10
ARL13A	Arl13a
ARL13B	Arl13b
ARL14	Arl11
ARL15	Arl15
ARL16	Arl16
ARL2	Arl2
ARL2BP	Arl2bp
ARL3	Arl3
ARL4A	Arl4a
ARL4C	Arl4c
ARL4D	Arl4d
ARL5A	Arl5a
ARL5B	Arl5b
ARL5C	Arl5c
ARL6	Arl6
ARL6IP1	Arl6ip1
ARL6IP4	Arl6ip4
ARL6IP5	Arl6ip5
ARL6IP6	Arl6ip6
ARL8A	Arl8a
ARL8B	Arl8b
ARL9	Arl9
ARMC1	Armc1
ARMC10	Armc10
ARMC2	Armc2
ARMC3	Armc3
ARMC4	Armc4
ARMC5	Armc5
ARMC6	Armc6
ARMC7	Armc7
ARMC8	Armc8
ARMC9	Armc9
ARMCX1	Armcx1
ARMCX2	Armcx2
ARMCX3	Armcx3
ARMCX5	Armcx5
ARMCX6	Armcx6
ARNT	Arnt
ARNT2	Arnt2
ARNTL	Arntl
ARNTL2	Arntl2
ARPC2	Arpc2
ARPC3	Arpc3
ARPC4	Arpc4
ARPC5L	Arpc5l
ARPP19	Arpp19
ARPP21	Arpp21
ARR3	Arr3
ARRB1	Arrb1
ARRB2	Arrb2
ARRDC1	Arrdc1
ARRDC2	Arrdc2
ARRDC3	Arrdc3
ARRDC4	Arrdc4
ARRDC5	Arrdc5
ARSA	Arsa
ARSB	Arsb
ARSG	Arsg
ARSI	Arsi
ARSJ	Arsj
ARSK	Arsk
ART1	Art1
ART3	Art3
ART4	Art4
ART5	Art5
ARTN	Artn
ARV1	Arv1
ARVCF	Arvcf
ARX	Arx
AS3MT	As3mt
ASAH1	Asah1
ASAP1	Asap1
ASAP3	Asap3
ASB1	Asb1
ASB10	Asb10
ASB11	Asb11
ASB12	Asb12
ASB13	Asb13
ASB14	Asb14
ASB15	Asb15
ASB16	Asb16
ASB17	Asb17
ASB18	Asb18
ASB2	Asb2
ASB3	Asb3
ASB4	Asb4
ASB5	Asb5
ASB6	Asb6
ASB7	Asb7
ASB8	Asb8
ASCC1	Ascc1
ASCC2	Ascc2
ASCC3	Ascc3
ASCL1	Ascl1
ASCL2	Ascl2
ASCL3	Ascl3
ASF1A	Asf1a
ASF1B	Asf1b
ASGR1	Asgr1
ASGR2	Asgr2
ASH1L	Ash1l
ASH2L	Ash2l
ASIP	a
ASNA1	Asna1
ASNS	Asns
ASNSD1	Asnsd1
ASPA	Aspa
ASPDH	Aspdh
ASPG	Aspg
ASPH	Asph
ASPHD1	Asphd1
ASPHD2	Asphd2
ASPM	Aspm
ASPN	Aspn
ASPRV1	Asprv1
ASPSCR1	Aspscr1
ASRGL1	Asrgl1
ASS1	Ass1
